iter	F1	Logloss
0	0.5757663809	0.6920646994
1	0.5743516536	0.6899164838
2	0.612120287	0.6876703016
3	0.633088068	0.6860079115
4	0.642321388	0.684687074
5	0.6474417196	0.6839696734
6	0.6599061601	0.6811429017
7	0.6688637555	0.6802220447
8	0.6732973958	0.6777602106
9	0.6853788848	0.6761412288
10	0.6817425503	0.6752805897
11	0.6830857836	0.6752371035
12	0.6828486375	0.6742172875
13	0.6963178443	0.6717019918
14	0.6979230299	0.6713176791
15	0.703313483	0.668703961
16	0.7093407015	0.6657294646
17	0.7111588972	0.6645042759
18	0.7199814915	0.6624621038
19	0.722406992	0.6608869289
20	0.7235993473	0.6589677032
21	0.730488751	0.6575366539
22	0.7288333984	0.6558474004
23	0.7326348467	0.6541328134
24	0.7362390648	0.6530304826
25	0.7353717212	0.6526410268
26	0.73204549	0.6514219433
27	0.7352073303	0.6506357319
28	0.7376526406	0.6486779131
29	0.7360733432	0.6481852026
30	0.7373980583	0.6478388292
31	0.7374544326	0.6466063098
32	0.738380227	0.645603775
33	0.7376679873	0.645569263
34	0.7445040006	0.6438923224
35	0.7430084911	0.6429367249
36	0.7426699938	0.6423344339
37	0.7412030896	0.6419033831
38	0.744124307	0.6413212411
39	0.7440006253	0.6397907843
40	0.7479319494	0.6385850099
41	0.7486931419	0.6384848394
42	0.7493173129	0.6376945179
43	0.7480093677	0.6373562459
44	0.7463200752	0.637001798
45	0.7489076155	0.6366427394
46	0.7482397121	0.6363488707
47	0.7495309568	0.6347195786
48	0.7494924254	0.6341940249
49	0.7506635441	0.6336094748
50	0.7506253909	0.6326791098
51	0.7501758225	0.6325672002
52	0.7518949754	0.6321159212
53	0.752188868	0.6314429327
54	0.75	0.6309627845
55	0.7525386658	0.6287867754
56	0.7563012095	0.6276782216
57	0.7564362615	0.6273935454
58	0.7561032681	0.627069662
59	0.7564661888	0.6254843064
60	0.7550144385	0.6250807917
61	0.7560480724	0.6240316138
62	0.755141941	0.6236816181
63	0.7552633639	0.6231648722
64	0.7559239853	0.6230735976
65	0.7575354263	0.622149097
66	0.7578650806	0.6217081145
67	0.7576065702	0.6216286223
68	0.7580165806	0.6213681753
69	0.7574001566	0.6212021033
70	0.7602284284	0.6202252328
71	0.7600563468	0.6195970442
72	0.7614514241	0.6190050974
73	0.7609527528	0.6188972392
74	0.7609527528	0.6188945433
75	0.7618899111	0.6178067837
76	0.7625741956	0.6165834481
77	0.7624110703	0.6151901935
78	0.7652758243	0.6139672905
79	0.7664193674	0.6134117451
80	0.7673201593	0.6126371865
81	0.7658975362	0.6121201218
82	0.7652119506	0.6117660205
83	0.769098444	0.6109967255
84	0.7658074121	0.6100732588
85	0.7692307692	0.6092324585
86	0.7690983093	0.6092283118
87	0.7718969555	0.6076113394
88	0.7729400749	0.6073111571
89	0.7716941342	0.6069517549
90	0.7715625	0.6069488802
91	0.7696396467	0.6063907059
92	0.7695794904	0.6063896753
93	0.7707210374	0.6057428142
94	0.7714531116	0.6055617603
95	0.7754530606	0.6042174198
96	0.7752844008	0.6031226985
97	0.7758916057	0.6028044485
98	0.7763680237	0.6022197964
99	0.7767488911	0.60217479
100	0.7776826706	0.6012781989
101	0.7781145566	0.6005312963
102	0.7780715397	0.6001709401
103	0.7781405473	0.5999938748
104	0.7782784338	0.5996656252
105	0.7796294861	0.5991855556
106	0.7810026385	0.5978807591
107	0.7814826303	0.5969399786
108	0.781320301	0.5964688211
109	0.7809346375	0.5962765876
110	0.7807793821	0.5953598548
111	0.77994256	0.5950037313
112	0.7812403101	0.5938093223
113	0.7826896231	0.5925920076
114	0.7831549558	0.5922240977
115	0.7830876649	0.5917691616
116	0.7831484211	0.59148954
117	0.7846964064	0.590842213
118	0.7844473705	0.5905511494
119	0.7848729076	0.5903699823
120	0.7854596187	0.5900013316
121	0.7853987445	0.5898512566
122	0.7847394541	0.5892515481
123	0.7863460047	0.588608143
124	0.7879962779	0.5874739695
125	0.7881513648	0.5868781657
126	0.7882781611	0.5868751466
127	0.7882781611	0.5868749409
128	0.7870607401	0.5864776056
129	0.7876154264	0.5860610584
130	0.7889922481	0.5857765861
131	0.7880527541	0.5853154241
132	0.7879116621	0.5847490809
133	0.7875455038	0.5845583812
134	0.7897634742	0.5835591374
135	0.7905064764	0.5825483296
136	0.790567794	0.5821427591
137	0.7916957162	0.5815545701
138	0.7919671241	0.5808568715
139	0.7923446459	0.5806478327
140	0.7928039702	0.5801979109
141	0.7929617859	0.5801220433
142	0.7929481205	0.5792066136
143	0.7967719407	0.577198213
144	0.7977031117	0.5764337295
145	0.7979194162	0.5762170925
146	0.7985109353	0.5756250419
147	0.798976268	0.5751409597
148	0.7996588618	0.574278561
149	0.8004035387	0.5731497142
150	0.8013677339	0.5721572375
151	0.8018046049	0.5716764456
152	0.8023038605	0.5710465839
153	0.8018046049	0.570731461
154	0.8014631489	0.5705846253
155	0.8021165668	0.5697371824
156	0.8035769829	0.5688794822
157	0.803825519	0.5688650561
158	0.8044544817	0.5681273376
159	0.8049236522	0.5675921571
160	0.8046084384	0.5674910284
161	0.8052049244	0.5664238625
162	0.8064792462	0.5654459016
163	0.8064465898	0.5652601146
164	0.8073780061	0.5651010416
165	0.8074108672	0.5647455305
166	0.8072251635	0.564490703
167	0.8084708813	0.5639408792
168	0.8085901027	0.5637822423
169	0.8096831945	0.5629638134
170	0.8119073527	0.561936518
171	0.8131167923	0.5611429847
172	0.8128209118	0.5607177481
173	0.813229572	0.5599352554
174	0.813385214	0.5593856878
175	0.8131474414	0.558791971
