iter	Passed	Remaining
0	272	407932
1	341	255624
2	413	206232
3	482	180363
4	570	170646
5	636	158602
6	713	152281
7	777	145058
8	842	139624
9	903	134663
10	974	131849
11	999	123876
12	1059	121211
13	1125	119489
14	1186	117445
15	1248	115752
16	1312	114525
17	1373	113109
18	1433	111707
19	1560	115504
20	1656	116648
21	1717	115353
22	1778	114187
23	1844	113425
24	1903	112305
25	1980	112279
26	2040	111310
27	2103	110571
28	2164	109785
29	2222	108891
30	2280	108071
31	2343	107513
32	2402	106781
33	2433	104940
34	2502	104744
35	2563	104261
36	2624	103781
37	2681	103151
38	2741	102705
39	2799	102182
40	2860	101774
41	2917	101276
42	2977	100889
43	3036	100469
44	3094	100071
45	3155	99736
46	3212	99301
47	3274	99050
48	3333	98717
49	3411	98928
50	3471	98626
51	3502	97543
52	3559	97172
53	3616	96849
54	3675	96563
55	3762	97018
56	3822	96763
57	3886	96618
58	3945	96358
59	4005	96142
60	4061	95809
61	4121	95583
62	4180	95359
63	4241	95158
64	4299	94916
65	4360	94746
66	4417	94477
67	4450	93723
68	4508	93499
69	4571	93379
70	4634	93277
71	4688	92984
72	4747	92797
73	4778	92082
74	4806	91330
75	4864	91154
76	4925	91025
77	4985	90894
78	5046	90766
79	5102	90571
80	5163	90459
81	5224	90346
82	5279	90136
83	5339	90003
84	5401	89923
85	5461	89800
86	5492	89198
87	5551	89081
88	5612	88975
89	5668	88811
90	5698	88229
91	5754	88062
92	5772	87331
93	5830	87216
94	5891	87131
95	5951	87040
96	6008	86904
97	6063	86751
98	6123	86660
99	6148	86085
100	6207	85983
101	6266	85883
102	6328	85827
103	6384	85703
104	6442	85590
105	6499	85469
106	6561	85424
107	6619	85313
108	6678	85232
109	6734	85100
110	6793	85005
111	6846	84849
112	6904	84752
113	6964	84674
114	7024	84593
115	7080	84480
116	7137	84366
117	7199	84313
118	7256	84216
119	7313	84106
120	7372	84018
121	7434	83973
122	7496	83921
123	7556	83848
124	7615	83769
125	7672	83670
126	7697	83220
127	7716	82707
128	7770	82587
129	7831	82535
130	7888	82437
131	7944	82337
132	8001	82239
133	8057	82133
134	8115	82061
135	8174	81990
136	8233	81917
137	8292	81841
138	8351	81775
139	8406	81661
140	8463	81577
141	8518	81461
142	8583	81450
143	8643	81395
144	8701	81313
145	8756	81209
146	8814	81124
147	8872	81052
148	8929	80962
149	8989	80903
150	9047	80829
151	9105	80750
152	9165	80688
153	9225	80635
154	9306	80752
155	9366	80697
156	9428	80652
157	9458	80337
158	9518	80275
159	9577	80212
160	9633	80120
161	9690	80032
162	9751	79985
163	9809	79911
164	9866	79825
165	9922	79737
166	9979	79658
167	10040	79609
168	10099	79541
169	10165	79531
170	10226	79478
171	10289	79441
172	10346	79364
173	10405	79297
174	10465	79240
175	10523	79166
176	10583	79107
177	10642	79044
178	10655	78636
179	10715	78582
180	10774	78513
181	10829	78421
182	10887	78350
183	10946	78292
184	11006	78235
185	11065	78168
186	11085	77833
187	11142	77759
188	11197	77669
189	11254	77599
190	11315	77550
191	11372	77477
192	11432	77420
193	11491	77362
194	11550	77299
195	11607	77223
196	11668	77175
197	11728	77121
198	11790	77082
199	11863	77110
200	11931	77111
201	12000	77111
202	12065	77088
203	12126	77039
204	12184	76972
205	12243	76907
206	12305	76866
207	12364	76801
208	12424	76746
209	12482	76675
210	12550	76672
211	12609	76609
212	12668	76547
213	12728	76492
214	12790	76447
215	12847	76372
216	12906	76310
217	12968	76261
218	13028	76207
219	13089	76159
220	13147	76090
221	13207	76035
222	13272	76001
223	13331	75944
224	13390	75879
225	13466	75913
226	13526	75853
227	13586	75799
228	13644	75731
229	13704	75674
230	13765	75621
231	13824	75558
232	13881	75484
233	13940	75423
234	13999	75361
235	14058	75297
236	14117	75231
237	14179	75187
238	14240	75136
239	14302	75088
240	14364	75041
241	14423	74979
242	14482	74915
243	14540	74846
244	14610	74840
245	14668	74774
246	14731	74730
247	14791	74671
248	14851	74613
249	14911	74556
250	14970	74497
251	15031	74439
252	15091	74384
253	15156	74352
254	15217	74298
255	15283	74268
256	15343	74211
257	15427	74268
258	15487	74206
259	15549	74160
260	15611	74109
261	15674	74065
262	15731	73993
263	15792	73938
264	15853	73884
265	15913	73822
266	15972	73762
267	16032	73702
268	16097	73666
269	16157	73605
270	16218	73551
271	16280	73502
272	16339	73439
273	16398	73375
274	16459	73317
275	16520	73264
276	16580	73203
277	16672	73286
278	16734	73233
279	16811	73249
280	16886	73255
281	16958	73245
282	17023	73208
283	17098	73210
284	17176	73226
285	17260	73267
286	17339	73284
287	17399	73224
288	17470	73205
289	17528	73135
290	17604	73140
291	17689	73179
292	17760	73162
293	17833	73154
294	17912	73169
295	17999	73214
296	18083	73246
297	18150	73212
298	18209	73142
299	18285	73142
300	18363	73149
301	18442	73157
302	18507	73112
303	18576	73084
304	18652	73080
305	18737	73113
306	18800	73058
307	18863	73004
308	18940	73003
309	19016	72998
310	19080	72947
311	19175	73014
312	19251	73006
313	19327	73000
314	19417	73045
315	19493	73038
316	19563	73006
317	19635	72983
318	19704	72948
319	19784	72954
320	19866	72965
321	19946	72971
322	20030	72990
323	20132	73072
324	20220	73103
325	20313	73154
326	20393	73153
327	20466	73131
328	20544	73122
329	20632	73151
330	20719	73176
331	20805	73194
332	20891	73214
333	20961	73176
334	21026	73123
335	21104	73111
336	21184	73107
337	21244	73034
338	21320	73019
339	21394	72991
340	21508	73104
341	21591	73108
342	21676	73119
343	21758	73119
344	21836	73105
345	21916	73098
346	21995	73086
347	22081	73095
348	22167	73108
349	22251	73111
350	22326	73085
351	22417	73110
352	22498	73104
353	22583	73109
354	22655	73073
355	22740	73074
356	22830	73096
357	22920	73114
358	22990	73069
359	23072	73062
360	23157	73064
361	23246	73080
362	23334	73089
363	23418	73085
364	23490	73045
365	23563	73007
366	23643	72991
367	23711	72939
368	23793	72929
369	23861	72875
370	23945	72870
371	24031	72868
372	24118	72871
373	24209	72886
374	24292	72877
375	24377	72871
376	24462	72867
377	24540	72843
378	24613	72800
379	24692	72776
380	24780	72781
381	24845	72714
382	24929	72705
383	25001	72659
384	25087	72656
385	25168	72637
386	25247	72609
387	25317	72559
388	25389	72514
389	25471	72496
390	25550	72469
391	25633	72455
392	25707	72412
393	25794	72408
394	25880	72401
395	25963	72382
396	26040	72350
397	26110	72295
398	26194	72281
399	26279	72269
400	26364	72256
401	26450	72244
402	26525	72203
403	26613	72199
404	26688	72158
405	26775	72148
406	26866	72151
407	26931	72081
408	26994	72006
409	27057	71932
410	27122	71863
411	27185	71791
412	27254	71731
413	27316	71656
414	27386	71600
415	27451	71533
416	27512	71452
417	27574	71377
418	27638	71306
419	27701	71231
420	27767	71166
421	27832	71097
422	27897	71030
423	27961	70959
424	28026	70890
425	28089	70818
426	28157	70755
427	28219	70681
428	28284	70611
429	28347	70540
430	28423	70497
431	28486	70424
432	28549	70352
433	28612	70278
434	28672	70198
435	28732	70116
436	28791	70034
437	28851	69956
438	28912	69877
439	28973	69800
440	29031	69715
441	29091	69635
442	29152	69557
443	29213	69480
444	29273	69401
445	29335	69326
446	29397	69251
447	29456	69170
448	29517	69094
449	29576	69012
450	29636	68933
451	29695	68850
452	29756	68774
453	29819	68702
454	29880	68625
455	29940	68548
456	30001	68470
457	30061	68393
458	30124	68320
459	30185	68246
460	30246	68168
461	30306	68090
462	30365	68011
463	30428	67939
464	30488	67861
465	30549	67785
466	30610	67711
467	30672	67636
468	30731	67557
469	30791	67479
470	30855	67409
471	30915	67333
472	30978	67260
473	31038	67183
474	31099	67109
475	31160	67034
476	31223	66962
477	31284	66887
478	31343	66808
479	31402	66731
480	31462	66654
481	31522	66577
482	31583	66502
483	31645	66428
484	31703	66348
485	31764	66273
486	31824	66197
487	31886	66125
488	31947	66051
489	32008	65976
490	32070	65905
491	32133	65834
492	32194	65760
493	32260	65696
494	32319	65618
495	32382	65549
496	32447	65482
497	32507	65406
498	32570	65336
499	32630	65260
500	32692	65188
501	32752	65113
502	32811	65036
503	32873	64964
504	32935	64891
505	32994	64816
506	33059	64748
507	33118	64673
508	33178	64597
509	33236	64517
510	33298	64445
511	33360	64374
512	33420	64299
513	33479	64224
514	33538	64146
515	33601	64077
516	33661	64001
517	33724	63933
518	33784	63858
519	33844	63784
520	33904	63710
521	33963	63632
522	34023	63557
523	34082	63481
524	34146	63415
525	34207	63343
526	34268	63269
527	34328	63195
528	34389	63123
529	34448	63047
530	34510	62976
531	34572	62906
532	34631	62830
533	34692	62759
534	34753	62686
535	34815	62615
536	34876	62543
537	34939	62475
538	35013	62426
539	35090	62383
540	35151	62311
541	35213	62240
542	35274	62169
543	35337	62099
544	35398	62029
545	35459	61957
546	35520	61885
547	35581	61813
548	35652	61758
549	35714	61689
550	35774	61614
551	35833	61540
552	35895	61469
553	35954	61395
554	36018	61328
555	36081	61260
556	36143	61190
557	36203	61117
558	36262	61043
559	36326	60975
560	36386	60904
561	36448	60834
562	36509	60762
563	36568	60688
564	36629	60616
565	36691	60546
566	36755	60481
567	36814	60407
568	36877	60339
569	36938	60268
570	36999	60197
571	37061	60127
572	37124	60059
573	37186	59990
574	37245	59917
575	37309	59850
576	37369	59778
577	37428	59704
578	37488	59631
579	37550	59562
580	37610	59490
581	37678	59431
582	37741	59364
583	37801	59292
584	37861	59219
585	37924	59151
586	37988	59085
587	38051	59019
588	38110	58945
589	38171	58874
590	38229	58799
591	38289	58727
592	38350	58658
593	38410	58585
594	38475	58521
595	38535	58449
596	38595	58377
597	38656	58307
598	38717	58238
599	38776	58165
600	38846	58108
601	38916	58051
602	38981	57988
603	39042	57916
604	39103	57847
605	39162	57774
606	39224	57705
607	39286	57637
608	39348	57569
609	39410	57501
610	39469	57428
611	39533	57362
612	39593	57291
613	39655	57222
614	39717	57153
615	39777	57082
616	39840	57016
617	39903	56949
618	39964	56880
619	40028	56814
620	40089	56745
621	40149	56674
622	40211	56605
623	40274	56539
624	40336	56470
625	40399	56404
626	40461	56336
627	40522	56267
628	40584	56199
629	40644	56128
630	40707	56062
631	40767	55991
632	40829	55922
633	40892	55856
634	40951	55784
635	41010	55712
636	41070	55642
637	41135	55577
638	41197	55509
639	41256	55438
640	41318	55370
641	41377	55299
642	41437	55229
643	41499	55160
644	41559	55090
645	41624	55027
646	41687	54961
647	41746	54889
648	41809	54822
649	41870	54753
650	41930	54683
651	41991	54614
652	42052	54546
653	42113	54476
654	42172	54405
655	42231	54334
656	42293	54267
657	42354	54198
658	42417	54131
659	42476	54061
660	42536	53991
661	42599	53925
662	42659	53855
663	42721	53787
664	42780	53716
665	42842	53650
666	42904	53581
667	42963	53511
668	43025	53443
669	43087	53376
670	43146	53305
671	43207	53238
672	43266	53167
673	43323	53094
674	43384	53024
675	43442	52953
676	43504	52886
677	43565	52817
678	43623	52746
679	43681	52674
680	43743	52607
681	43801	52536
682	43862	52467
683	43924	52401
684	43983	52330
685	44045	52264
686	44105	52194
687	44165	52125
688	44226	52057
689	44290	51992
690	44350	51924
691	44428	51875
692	44489	51807
693	44549	51739
694	44608	51669
695	44669	51601
696	44729	51532
697	44794	51468
698	44857	51403
699	44916	51333
700	44975	51262
701	45036	51195
702	45095	51125
703	45155	51056
704	45211	50983
705	45273	50916
706	45334	50849
707	45395	50780
708	45455	50712
709	45514	50642
710	45624	50629
711	45681	50557
712	45750	50499
713	45813	50433
714	45875	50366
715	45937	50299
716	45992	50226
717	46052	50157
718	46108	50084
719	46166	50013
720	46229	49947
721	46285	49875
722	46349	49811
723	46407	49740
724	46466	49670
725	46523	49599
726	46588	49536
727	46647	49467
728	46705	49396
729	46763	49325
730	46825	49259
731	46887	49193
732	46949	49126
733	47012	49061
734	47069	48991
735	47127	48920
736	47185	48850
737	47245	48781
738	47307	48716
739	47366	48646
740	47422	48574
741	47478	48502
742	47535	48431
743	47596	48363
744	47652	48292
745	47709	48221
746	47766	48150
747	47825	48080
748	47886	48014
749	47946	47946
750	48004	47876
751	48064	47808
752	48120	47736
753	48178	47667
754	48235	47596
755	48293	47526
756	48351	47457
757	48410	47388
758	48467	47317
759	48524	47247
760	48583	47178
761	48640	47108
762	48696	47037
763	48755	46968
764	48813	46899
765	48873	46831
766	48932	46763
767	48992	46695
768	49052	46628
769	49112	46561
770	49177	46498
771	49240	46433
772	49301	46367
773	49363	46301
774	49427	46238
775	49488	46172
776	49551	46107
777	49613	46042
778	49675	45976
779	49736	45910
780	49810	45856
781	49870	45788
782	49933	45724
783	49993	45657
784	50055	45592
785	50115	45524
786	50177	45459
787	50239	45394
788	50304	45331
789	50367	45266
790	50433	45205
791	50493	45138
792	50556	45073
793	50617	45007
794	50678	44941
795	50740	44875
796	50800	44809
797	50866	44747
798	50927	44680
799	50987	44614
800	51048	44548
801	51136	44505
802	51201	44443
803	51268	44382
804	51335	44321
805	51397	44255
806	51465	44195
807	51533	44134
808	51599	44072
809	51664	44010
810	51730	43948
811	51798	43888
812	51870	43831
813	51937	43770
814	52002	43707
815	52074	43651
816	52143	43591
817	52209	43529
818	52277	43468
819	52343	43406
820	52408	43344
821	52474	43282
822	52542	43221
823	52608	43159
824	52677	43099
825	52749	43042
826	52819	42983
827	52888	42923
828	52955	42862
829	53020	42799
830	53085	42736
831	53153	42675
832	53219	42613
833	53286	42552
834	53354	42491
835	53420	42429
836	53487	42368
837	53555	42307
838	53623	42246
839	53695	42189
840	53766	42130
841	53836	42071
842	53907	42013
843	53974	41951
844	54042	41891
845	54109	41829
846	54178	41768
847	54245	41707
848	54313	41647
849	54381	41585
850	54447	41523
851	54513	41460
852	54580	41399
853	54647	41337
854	54715	41276
855	54782	41215
856	54852	41155
857	54916	41091
