iter	Passed	Remaining
0	227	340686
1	299	224686
2	363	181386
3	423	158330
4	483	144574
5	544	135518
6	606	129378
7	670	125020
8	732	121354
9	796	118716
10	856	115952
11	874	108438
12	934	106938
13	997	105841
14	1055	104542
15	1118	103708
16	1177	102755
17	1238	102010
18	1300	101335
19	1361	100756
20	1420	100024
21	1478	99295
22	1536	98691
23	1599	98340
24	1664	98178
25	1720	97521
26	1780	97111
27	1842	96862
28	1906	96716
29	1963	96206
30	2019	95686
31	2091	95935
32	2149	95560
33	2181	94056
34	2240	93775
35	2301	93574
36	2368	93665
37	2427	93410
38	2486	93138
39	2547	92978
40	2609	92844
41	2664	92500
42	2722	92249
43	2780	92012
44	2838	91782
45	2896	91565
46	2954	91348
47	3015	91228
48	3073	91003
49	3130	90783
50	3189	90605
51	3221	89692
52	3278	89515
53	3338	89385
54	3398	89290
55	3457	89155
56	3515	88991
57	3573	88843
58	3629	88650
59	3689	88541
60	3747	88406
61	3806	88275
62	3866	88192
63	3922	88008
64	3978	87831
65	4036	87712
66	4095	87592
67	4128	86940
68	4183	86757
69	4240	86624
70	4301	86579
71	4358	86452
72	4417	86354
73	4445	85672
74	4473	85000
75	4531	84907
76	4596	84941
77	4653	84843
78	4715	84827
79	4774	84740
80	4839	84789
81	4897	84696
82	4952	84556
83	5010	84466
84	5068	84372
85	5138	84494
86	5169	83954
87	5229	83912
88	5293	83921
89	5348	83797
90	5378	83271
91	5432	83144
92	5450	82463
93	5506	82363
94	5566	82321
95	5625	82274
96	5683	82209
97	5740	82129
98	5796	82023
99	5825	81553
100	5888	81559
101	5945	81482
102	6005	81447
103	6061	81362
104	6120	81314
105	6176	81221
106	6247	81328
107	6302	81233
108	6360	81169
109	6414	81059
110	6475	81035
111	6528	80911
112	6589	80887
113	6651	80863
114	6709	80810
115	6783	80929
116	6853	81017
117	6916	81004
118	6979	81000
119	7038	80943
120	7129	81253
121	7194	81262
122	7271	81408
123	7331	81357
124	7394	81343
125	7461	81365
126	7489	80965
127	7509	80495
128	7571	80466
129	7631	80419
130	7688	80350
131	7745	80273
132	7823	80413
133	7884	80372
134	7956	80449
135	8029	80528
136	8100	80587
137	8167	80614
138	8238	80667
139	8307	80703
140	8377	80743
141	8443	80746
142	8510	80763
143	8579	80790
144	8649	80825
145	8712	80800
146	8777	80791
147	8844	80795
148	8916	80845
149	8985	80873
150	9050	80859
151	9111	80807
152	9177	80800
153	9238	80750
154	9298	80689
155	9382	80834
156	9474	81049
157	9511	80788
158	9583	80829
159	9642	80756
160	9703	80701
161	9759	80607
162	9825	80595
163	9886	80541
164	9946	80476
165	10000	80368
166	10061	80310
167	10117	80219
168	10175	80140
169	10240	80113
170	10304	80085
171	10368	80053
172	10430	80007
173	10488	79927
174	10548	79865
175	10604	79776
176	10663	79702
177	10732	79706
178	10745	79297
179	10813	79296
180	10882	79307
181	10954	79332
182	11019	79305
183	11088	79303
184	11155	79294
185	11219	79262
186	11240	78926
187	11303	78886
188	11366	78842
189	11429	78801
190	11496	78792
191	11557	78732
192	11614	78654
193	11671	78573
194	11731	78511
195	11792	78457
196	11855	78412
197	11913	78339
198	11976	78295
199	12038	78253
200	12098	78186
201	12163	78157
202	12231	78151
203	12293	78100
204	12356	78055
205	12413	77978
206	12477	77936
207	12544	77917
208	12612	77907
209	12681	77903
210	12764	77975
211	12845	78041
212	12918	78057
213	12992	78077
214	13062	78068
215	13126	78027
216	13210	78106
217	13278	78089
218	13343	78048
219	13409	78017
220	13474	77980
221	13549	77998
222	13618	77987
223	13686	77963
224	13755	77945
225	13819	77902
226	13882	77850
227	13947	77812
228	14010	77758
229	14071	77699
230	14141	77684
231	14215	77696
232	14278	77643
233	14337	77569
234	14398	77506
235	14464	77468
236	14548	77531
237	14635	77606
238	14728	77708
239	14812	77767
240	14898	77828
241	14977	77860
242	15063	77920
243	15148	77978
244	15233	78035
245	15318	78088
246	15405	78148
247	15492	78209
248	15581	78280
249	15672	78360
250	15754	78394
251	15833	78411
252	15914	78440
253	15998	78482
254	16075	78486
255	16170	78579
256	16266	78675
257	16361	78761
258	16451	78829
259	16543	78900
260	16632	78958
261	16722	79019
262	16812	79076
263	16907	79158
264	16993	79196
265	17079	79234
266	17179	79334
267	17285	79460
268	17373	79505
269	17458	79535
270	17544	79564
271	17636	79622
272	17723	79659
273	17808	79681
274	17897	79727
275	17991	79788
276	18084	79848
277	18178	79908
278	18268	79948
279	18356	79981
280	18445	80018
281	18534	80051
282	18614	80050
283	18694	80043
284	18774	80039
285	18864	80073
286	18952	80101
287	19049	80166
288	19147	80235
289	19251	80324
290	19345	80372
291	19431	80389
292	19521	80416
293	19610	80443
294	19696	80453
295	19781	80463
296	19872	80491
297	19956	80495
298	20038	80489
299	20125	80503
300	20208	80498
301	20296	80512
302	20378	80503
303	20462	80505
304	20551	80522
305	20632	80508
306	20717	80506
307	20802	80509
308	20882	80489
309	21002	80624
310	21106	80691
311	21196	80709
312	21311	80821
313	21406	80853
314	21509	80916
315	21599	80930
316	21681	80911
317	21768	80911
318	21849	80890
319	21930	80869
320	22008	80836
321	22087	80804
322	22165	80769
323	22244	80739
324	22328	80725
325	22403	80679
326	22484	80656
327	22565	80630
328	22640	80581
329	22716	80540
330	22798	80517
331	22879	80491
332	22957	80455
333	23031	80404
334	23112	80374
335	23187	80327
336	23264	80286
337	23339	80237
338	23412	80183
339	23487	80132
340	23561	80080
341	23634	80025
342	23710	79978
343	23788	79940
344	23865	79897
345	23939	79844
346	24013	79792
347	24087	79739
348	24165	79698
349	24241	79650
350	24316	79600
351	24391	79550
352	24463	79490
353	24540	79445
354	24619	79407
355	24696	79361
356	24772	79312
357	24856	79292
358	24936	79253
359	25007	79188
360	25079	79130
361	25156	79084
362	25234	79038
363	25304	78972
364	25382	78930
365	25461	78889
366	25535	78833
367	25607	78771
368	25687	78733
369	25765	78687
370	25842	78640
371	25921	78600
372	26002	78564
373	26078	78513
374	26153	78459
375	26230	78413
376	26304	78355
377	26380	78304
378	26450	78235
379	26528	78188
380	26597	78116
381	26671	78059
382	26747	78007
383	26835	77990
384	26910	77935
385	26984	77876
386	27060	77823
387	27132	77761
388	27215	77727
389	27297	77692
390	27375	77644
391	27453	77598
